PSM,NearestRoad,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
53017.5,Arun Amarin Road,4.7,0.89,21.39,3.32,4.32,Wat Ratchabophit,Phra Nakhon,588,25,0,1,1,0,1,1,0,0
78427.14,Asoke Din Daeng Road,2.24,2.35,17.74,3.63,1.78,Din Daeng,Din Daeng,920,11,0,1,1,0,1,1,0,0
109696,Asoke Din Daeng Road,2.22,2.36,17.75,3.66,1.73,Din Daeng,Din Daeng,491,5,1,1,1,0,0,0,0,0
119298,Asoke Din Daeng Road,2.05,2.74,17.85,2.52,1.11,Din Daeng,Din Daeng,226,5,0,1,1,0,1,1,0,0
105328,Asoke Din Daeng Road,0.7,1.2,15.3,0.5,0.5,Sam Sen Nai,Phaya Thai,389,6,1,1,1,1,0,0,0,0
269085.5,Asoke Din Daeng Road,3.76,4.53,16.36,4.2,2.46,Sam Sen Nai,Phaya Thai,611,1,1,1,1,0,0,0,0,0
87930,Asoke Din Daeng Road,2.24,1.37,14.96,1.42,3.82,Sam Sen Nai,Phaya Thai,133,10,1,1,1,0,1,1,0,0
98094,Asoke Din Daeng Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,537,11,0,1,1,0,1,1,0,0
107399.67,Asoke Din Daeng Road,4.69,4.74,15.3,1.73,3.48,Sam Sen Nai,Phaya Thai,58,9,0,0,0,0,0,1,0,0
131887,Asoke Din Daeng Road,2.16,1.46,14.88,1.44,3.89,Thung Phaya Thai,Ratchathewi,152,11,0,1,1,0,1,1,0,0
100000,Asoke Din Daeng Road,4.76,1.49,15.31,2,3.51,Sam Sen Nai,Phaya Thai,117,16,1,1,1,0,1,1,0,0
150755,Asoke Din Daeng Road,4.12,4.87,16.01,4.57,2.83,Sam Sen Nai,Phaya Thai,191,12,0,1,1,0,0,0,0,0
338527.09,Asoke Montri Road,3.3,1.62,19.94,0.23,2.53,Khlong Tan Nuea,Watthana,156,5,1,1,1,0,0,1,0,0
138517.5,Asoke Montri Road,2.68,1,19.64,1.01,3.55,Khlong Tan Nuea,Watthana,70,16,0,1,1,0,1,1,0,0
97823.29,Asoke Montri Road,3.31,1.6,19.88,0.56,2.46,Khlong Toei Nuea,Watthana,146,31,0,1,1,0,1,1,0,0
